,SON,YUC,Other
0,0.0,0.0,0.0
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,0.0,0.01264527245859985,0.0
6,0.0,0.471112270717596,1.4820039612841549e-07
7,0.02186717758533487,2.0291109997967665,0.0024060890555320635
8,0.16524362693924424,3.548035836978863,0.020855025828435795
9,0.47765326545835446,4.7018157866464305,0.05716735754188819
10,0.7759994174944701,5.44229765127712,0.08983277341029297
11,0.9901143617329031,5.765611977498601,0.11322146468835313
12,1.1156985825123518,5.6803828411276385,0.127360330615814
13,1.1578001509955416,5.1551488042872355,0.13208692361495114
14,1.1193992537725144,4.21231728977403,0.12777082872983517
15,1.0050480439863023,2.8997632991162834,0.1146299214677622
16,0.8173851797794236,1.4621475638429835,0.09299975578808335
17,0.5493555255509608,0.25664844981974255,0.06240842161441899
18,0.2411003700647512,0.0015680137848663816,0.02672113518687777
19,0.0423542059649201,0.0,0.003570665127497909
20,0.0013848276776335306,0.0,1.5803460323077698e-05
21,0.0,0.0,0.0
22,0.0,0.0,0.0
23,0.0,0.0,0.0
