,YUC,Other
0,0.0,0.0
1,0.0,0.0
2,0.0,0.0
3,0.0,0.0
4,0.0,0.0
5,0.032780896989809974,0.0
6,1.2212850982523604,0.009878736660603774
7,5.260153854572867,0.09904921943831257
8,9.197729639194863,0.2721834520747718
9,12.188724242339104,0.4298628647534911
10,14.108308008268395,0.5444027382998705
11,14.946449982503857,0.6102021816577694
12,14.725506736792537,0.62979151850832
13,13.363919399423793,0.6083967769763553
14,10.91977571986356,0.5407202640543513
15,7.517184174115264,0.42737388812242366
16,3.7903895571377477,0.27883175611988886
17,0.6653210853051832,0.11323061116952603
18,0.004064831226736437,0.014407410577494433
19,0.0,8.115841227989452e-11
20,0.0,1.3719500771244897e-13
21,0.0,0.0
22,0.0,0.0
23,0.0,0.0
