,SON,MUL,BCS,CHIH,TAM,CHIA,Other wind
0,5.144110005968413,3.907267912930039,6.488451483733304,5.150192720810344,3.7610910851979047,6.142040787658671,1.8118023842480666
1,4.708501031032671,3.8508072944574474,6.778875173527594,5.06447624231891,3.747425326786717,6.284156317953395,1.8166982116934092
2,4.488043985530685,3.8888712037607522,6.9158974615155575,4.934184943758392,3.756236838966903,6.416965725842672,1.8552915873878943
3,4.352216172545695,3.92927281643916,6.643686368429748,4.650301872510332,3.763993080227306,6.325955003334224,1.900606865569329
4,4.273397305246284,3.9569695194702703,6.158669027897868,4.3324811541642205,3.785573370536864,6.13888616989398,1.9430045470550357
5,4.151295427485444,3.935828549817166,5.730245192574221,4.086756830399544,3.797497931930411,5.901816644884972,2.0002297388390393
6,4.023046351740783,3.8622417131400177,5.3102553785451025,3.846942047174331,3.6986190467467615,5.219315091515753,2.052795102153927
7,3.7103813364814724,3.6317746521380316,4.803969636487883,3.3063597911597378,3.805992862834663,5.077988215662045,2.059628950592262
8,3.361254174277029,3.3563322109846077,4.291083356026249,2.85413923654472,4.421901735165897,6.614602528794293,2.2090270041607094
9,2.891540881759812,3.0604602751183307,3.469805253447192,2.6331224203688417,5.108935867490494,6.991106158998223,2.3264870784347624
10,2.560181647974359,3.0655422389772498,2.66123929890627,2.9242095029411974,5.2602617173873485,6.650880633087087,2.314742714944509
11,2.5548765319061295,2.9649701742092383,2.1671767761164875,3.270677422569081,5.189294748031953,6.351507407227405,2.318525249626288
12,2.5773601190524356,2.9773193463864116,1.9751500014250596,3.4967032778688845,5.172832521683342,6.371539230032558,2.458702671128864
13,2.7146194712939313,3.202297886420766,1.9973962604917934,3.6852457617469567,5.364100375893976,6.71271114127307,2.7569371682761386
14,3.049094408167074,3.5768386228231117,2.1212174716709247,3.8610686631305677,5.798608177114547,7.346000657514702,3.1614442063249384
15,3.4496727754141885,4.026033408312982,2.283175126964458,3.9634444178094377,6.391195562118583,8.14443441373267,3.556565481319505
16,3.8197677773168723,4.486560973208242,2.40895205322638,4.024847358081372,7.013488823514503,8.716997538005927,3.8124474370470947
17,4.179336755274657,4.894236113970741,2.460411806342288,4.146809018548173,7.415335989767797,8.97346796226717,3.79812765106356
18,4.745889468084957,5.339568606927832,2.569442922207822,4.530366340228491,7.284798976990663,9.73357311264536,3.455117153073983
19,5.81701766471798,5.8777993992259665,2.8736788497743158,4.9666592760561965,6.213593466319136,8.98435139355501,2.918416035888124
20,7.038625899667295,5.852135481738424,3.389498702860135,5.226960466484878,5.152624083569502,7.304675164798562,2.4379875648484277
21,7.263798603896597,5.222785077449868,4.168240002388512,5.299619674451026,4.474718044701027,6.17390242708094,2.126657285987141
22,6.684362037777741,4.60237892955301,5.080458856317296,5.267483030184049,4.065906090377167,5.833361439393347,1.9430751930230707
23,5.878405436364638,4.142816937790945,5.902225887667051,5.161505269843029,3.8475705370741053,5.910965036402373,1.8498349777150063
